,titles,area,city,company,job_type,career_level,experience_needed,skills_and_tools,urls
22,Senior Data Analyst,10th of Ramadan City,Cairo,Alarabia Group,Full Time,Experienced,2 - 5 Yrs of Exp,BI | BI Developer | Computer Science | developer | Information Technology (IT) | Power | Power BI,https://wuzzuf.net/jobs/p/BmrC2VkxUTdD-Senior-Data-Analyst-Alarabia-Group-Cairo-Egypt?o=23&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
23,Business Intelligence Analyst,Nasr City,Cairo,WebBeds,Full Time,Experienced,3 - 5 Yrs of Exp,Analysis | BI | Business Analysis | Data | Management | SQL | Information Technology (IT),https://wuzzuf.net/jobs/p/GHJHSUJJKEDo-Business-Intelligence-Analyst-WebBeds-Cairo-Egypt?o=24&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
24,Senior Business Excellence Analyst,Alexandria,Egypt,Caduceus Lane,Full Time,Experienced,5+ Yrs of Exp,Administration | Business Administration | Business Analysis | Communication skills | Data | Analysis | Data Analysis,https://wuzzuf.net/jobs/p/mnnaVOFpU7mO-Senior-Business-Excellence-Analyst-Caduceus-Lane-Alexandria-Egypt?o=25&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
25,Senior Business Analyst / Product Owner,Nasr City,Cairo,New Innovation Technologies,Full Time,Experienced,5 - 8 Yrs of Exp,Technical Analysis | Analysis | Information Technology (IT) | Research | ERP | HIMS | R&amp;D | UX,https://wuzzuf.net/jobs/p/zPBecH8DWYir-Senior-Business-Analyst-Product-Owner-New-Innovation-Technologies-Cairo-Egypt?o=26&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
26,Financial Analyst,6th of October,Giza,Raya Distribution,Full Time,Entry Level,0 - 2 Yrs of Exp,Accounting | business | Finance | Financial Data | analytical | Financial Analysis | Commerce | Financial,https://wuzzuf.net/jobs/p/nqgBpxn27cuq-Financial-Analyst-Raya-Distribution-Giza-Egypt?o=27&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
27,Data Analyst,Salam City,Cairo,Grand Plast,Full Time,Experienced,7 - 12 Yrs of Exp,English | Data Analysis | Analysis | Computer Science | Information Technology (IT),https://wuzzuf.net/jobs/p/t1N5AIsGs5RH-Data-Analyst-Grand-Plast-Cairo-Egypt?o=28&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
28,Senior Business Analyst,Dokki,Giza,Caelum Egypt,Full Time,Experienced,5+ Yrs of Exp,Analysis | Business Analysis | Business Development | Engineering | Science | System Analysis | Software,https://wuzzuf.net/jobs/p/ZjOoDVsUqEbH-Senior-Business-Analyst-Caelum-Egypt-Giza-Egypt?o=29&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
29,Senior Digital Data Analyst,10th of Ramadan City,Cairo,Jazeera Paints,Full Time,Experienced,3 - 6 Yrs of Exp,Analysis | Analyst | analytical | business | Computer Science | Data | Data Analysis,https://wuzzuf.net/jobs/p/ICOsH15h8wvT-Senior-Digital-Data-Analyst-Jazeera-Paints-Cairo-Egypt?o=30&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
30,Market Research Analyst,10th of Ramadan City,Sharqia,Progress Egypt,Full Time,Entry Level,0 - 2 Yrs of Exp,Market Research | Research analyst | Research | Marketing | Analyst | Writing | MS Office | Skills,https://wuzzuf.net/jobs/p/ZCetpyvSuZu0-Market-Research-Analyst-Progress-Egypt-Sharqia-Egypt?o=31&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
31,Operations Research Analyst,New Cairo,Cairo,Confidential,Full Time,Experienced,5 - 10 Yrs of Exp,Analysis | Analyst | Operations Research | Research analyst | Research | Operations | Computer Science,https://wuzzuf.net/jobs/p/oF7SHVOwZVuR-Operations-Research-Analyst-Cairo-Egypt?o=32&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
